"No.","Delta-time","Time","Source","Destination","Protocol","Length","Info"
"4390","0.000000000","12.759296800","20.207.73.82","192.168.1.2","TLSv1.2","915","Ignored Unknown Record"
"4391","0.000077500","12.759374300","192.168.1.2","20.207.73.82","TCP","54","49670  >  443 [ACK] Seq=4066 Ack=89938 Win=65280 Len=0"
"4392","0.000057000","12.759431300","192.168.1.2","20.207.73.82","TCP","66","49670  >  443 [ACK] Seq=4066 Ack=91374 Win=65280 Len=0 SLE=92810 SRE=94246"
"4393","0.000037300","12.759468600","192.168.1.2","20.207.73.82","TCP","66","[TCP Dup ACK 4392#1] 49670  >  443 [ACK] Seq=4066 Ack=91374 Win=65280 Len=0 SLE=92810 SRE=95682"
"4394","0.000033500","12.759502100","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4392#2] 49670  >  443 [ACK] Seq=4066 Ack=91374 Win=65280 Len=0 SLE=97118 SRE=98554 SLE=92810 SRE=95682"
"4395","0.000035100","12.759537200","192.168.1.2","20.207.73.82","TCP","82","[TCP Dup ACK 4392#3] 49670  >  443 [ACK] Seq=4066 Ack=91374 Win=65280 Len=0 SLE=101426 SRE=102862 SLE=97118 SRE=98554 SLE=92810 SRE=95682"
"4396","0.000030400","12.759567600","192.168.1.2","20.207.73.82","TCP","82","[TCP Dup ACK 4392#4] 49670  >  443 [ACK] Seq=4066 Ack=91374 Win=65280 Len=0 SLE=97118 SRE=99990 SLE=101426 SRE=102862 SLE=92810 SRE=95682"
"4397","0.000046400","12.759614000","192.168.1.2","20.207.73.82","TCP","74","49670  >  443 [ACK] Seq=4066 Ack=95682 Win=65280 Len=0 SLE=97118 SRE=99990 SLE=101426 SRE=102862"
"4398","0.000040100","12.759654100","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4397#1] 49670  >  443 [ACK] Seq=4066 Ack=95682 Win=65280 Len=0 SLE=101426 SRE=104298 SLE=97118 SRE=99990"
"4399","0.000023800","12.759677900","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4397#2] 49670  >  443 [ACK] Seq=4066 Ack=95682 Win=65280 Len=0 SLE=101426 SRE=105734 SLE=97118 SRE=99990"
"4400","0.000025900","12.759703800","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4397#3] 49670  >  443 [ACK] Seq=4066 Ack=95682 Win=65280 Len=0 SLE=101426 SRE=106595 SLE=97118 SRE=99990"
"4401","0.000177500","12.759881300","20.207.73.82","192.168.1.2","TLSv1.2","1490","[TCP Fast Retransmission] , Change Cipher Spec"
"4402","0.000000000","12.759881300","20.207.73.82","192.168.1.2","TCP","1490","[TCP Previous segment not captured] 443  >  49670 [ACK] Seq=108031 Ack=4066 Win=77824 Len=1436"
"4403","0.000042700","12.759924000","192.168.1.2","20.207.73.82","TCP","66","49670  >  443 [ACK] Seq=4066 Ack=99990 Win=65280 Len=0 SLE=101426 SRE=106595"
"4404","0.000035000","12.759959000","192.168.1.2","20.207.73.82","TCP","74","[TCP Dup ACK 4403#1] 49670  >  443 [ACK] Seq=4066 Ack=99990 Win=65280 Len=0 SLE=108031 SRE=109467 SLE=101426 SRE=106595"
